T,P,h,V,is_starred
15.0,3.4132,0.0,0.0013408,false
15.0,3.7133,40.0,0.0011914,false
15.0,4.0133,79.0,0.0010458,false
15.0,4.3133,111.0,0.0009263,false
15.0,4.6132,140.0,0.000818,false
15.0,4.9132,161.0,0.0007395,false
15.0,5.2133,183.0,0.0006573,false
15.0,5.5133,203.0,0.0005827,false
15.0,5.9133,239.0,0.0004482,false
15.0,6.0633,244.0,0.0004295,false
15.0,6.1132,249.0,0.0004108,false
15.0,6.1132,254.0,0.0003922,false
15.0,6.1633,259.0,0.0003735,false
15.0,6.1633,264.0,0.0003548,false
15.0,6.2033,269.0,0.0003361,false
15.0,6.2133,274.0,0.0003175,false
15.0,6.2233,279.0,0.0002988,false
15.0,6.2233,284.0,0.0002801,false
15.0,6.2633,289.0,0.0002614,false
15.0,6.2933,294.0,0.0002428,false
15.0,6.3133,299.0,0.0002241,false
15.0,6.3333,304.0,0.0002054,false
15.0,6.3632,309.0,0.0001867,false
15.0,6.4032,314.0,0.0001681,false
15.0,6.5033,319.0,0.0001494,false
15.0,6.5633,324.0,0.0001307,false
15.0,6.8433,329.0,0.000112,false
15.0,7.2332,334.0,9.34e-5,false
15.0,9.0132,337.0,8.22e-5,false
20.0,3.5133,0.0,0.0013408,false
20.0,3.8133,39.0,0.0011952,false
20.0,4.1132,82.0,0.0010346,false
20.0,4.4132,113.0,0.0009188,false
20.0,4.7133,138.0,0.0008254,false
20.0,5.0133,161.0,0.0007395,false
20.0,5.3133,183.0,0.0006573,false
20.0,5.6132,198.0,0.0006013,false
20.0,5.9133,215.0,0.0005378,false
20.0,6.1132,226.0,0.0004967,false
20.0,6.2133,231.0,0.0004781,false
20.0,6.2433,236.0,0.0004594,false
20.0,6.4133,240.0,0.0004445,false
20.0,6.4832,245.0,0.0004258,false
20.0,6.5833,259.0,0.0003735,false
20.0,6.6833,255.0,0.0003884,false
20.0,6.7133,260.0,0.0003698,false
20.0,6.7433,265.0,0.0003511,false
20.0,6.8033,270.0,0.0003324,false
20.0,6.8232,275.0,0.0003137,false
20.0,6.8533,280.0,0.0002951,false
20.0,6.8933,285.0,0.0002764,false
20.0,6.9032,290.0,0.0002577,false
20.0,6.9032,295.0,0.000239,false
20.0,6.9133,300.0,0.0002204,false
20.0,6.9233,305.0,0.0002017,false
20.0,6.9633,310.0,0.000183,false
20.0,7.0133,315.0,0.0001643,false
20.0,7.1033,320.0,0.0001457,false
20.0,7.3232,325.0,0.000127,false
20.0,7.5732,330.0,0.0001083,false
20.0,9.0132,334.0,9.34e-5,false
25.0,3.5633,0.0,0.0013408,false
25.0,3.8632,41.0,0.0011877,false
25.0,4.1632,74.0,0.0010645,false
25.0,4.4633,105.0,0.0009487,false
25.0,4.7633,133.0,0.0008441,false
25.0,5.0633,156.0,0.0007582,false
25.0,5.3632,175.0,0.0006872,false
25.0,5.6633,193.0,0.00062,false
25.0,5.9633,212.0,0.000549,false
25.0,6.2633,225.0,0.0005005,false
25.0,6.5633,237.0,0.0004557,false
25.0,6.8632,250.0,0.0004071,false
25.0,6.9633,255.0,0.0003884,false
25.0,7.1132,260.0,0.0003698,false
25.0,7.2133,265.0,0.0003511,false
25.0,7.3133,270.0,0.0003324,false
25.0,7.4633,275.0,0.0003137,false
25.0,7.5133,280.0,0.0002951,false
25.0,7.5633,285.0,0.0002764,false
25.0,7.5833,290.0,0.0002577,false
25.0,7.6132,295.0,0.000239,false
25.0,7.6233,300.0,0.0002204,false
25.0,7.6932,305.0,0.0002017,false
25.0,7.7033,310.0,0.000183,false
25.0,7.7933,315.0,0.0001643,false
25.0,7.8232,320.0,0.0001457,false
25.0,8.1032,325.0,0.000127,false
25.0,8.5032,330.0,0.0001083,false
25.0,8.8133,332.0,0.0001008,false
25.0,9.0132,333.0,9.71e-5,false
31.1,3.6132,0.0,0.0013408,false
31.1,3.9132,38.0,0.0011989,false
