T,P,h,V,is_starred
42.0,3.8033,0.0,0.0013408,false
42.0,4.0633,36.5,0.0012045,false
42.0,4.3232,67.0,0.0010906,false
42.0,4.5832,86.0,0.0010196,false
42.0,4.8433,114.0,0.0009151,false
42.0,5.4432,155.0,0.0007619,false
42.0,5.7033,169.0,0.0007096,false
42.0,5.9633,183.0,0.0006573,false
42.0,6.2233,195.0,0.0006125,false
42.0,6.4832,205.0,0.0005752,false
42.0,6.7433,218.0,0.0005266,false
42.0,7.0033,226.0,0.0004967,false
42.0,7.2633,235.0,0.0004631,false
42.0,7.5232,243.0,0.0004333,false
42.0,7.7832,251.0,0.0004034,false
42.0,8.0433,259.0,0.0003735,false
42.0,8.3033,265.0,0.0003511,false
42.0,8.5633,273.0,0.0003212,false
42.0,8.8232,280.0,0.0002951,false
42.0,9.0132,283.0,0.0002839,false
