T,P,h,V,is_starred
10.0,8.0,337.0,8.216867469879518e-05,False
10.0,6.6,335.0,8.963855421686747e-05,False
10.0,5.45,330.0,0.000108313253012,False
10.0,5.12,325.0,0.0001269879518072,False
10.0,4.92,320.0,0.0001456626506024,False
10.0,4.85,316.0,0.0001606024096385,False
10.0,4.71,305.0,0.0002016867469879,False
10.0,4.7,300.0,0.0002203614457831,False
10.0,4.68,295.0,0.0002390361445783,False
10.0,4.65,290.0,0.0002577108433734,False
10.0,4.65,285.0,0.0002763855421686,False
10.0,4.65,280.0,0.0002950602409638,False
10.0,4.65,275.0,0.000313734939759,False
10.0,4.65,275.0,0.000313734939759,False
10.0,4.65,270.0,0.0003324096385542,False
10.0,4.65,265.0,0.0003510843373493,False
10.0,4.62,260.0,0.0003697590361445,False
10.0,4.6,255.0,0.0003884337349397,False
10.0,4.6,250.0,0.0004071084337349,False
10.0,4.58,232.0,0.0004743373493975,False
10.0,4.55,227.0,0.0004930120481927,True
10.0,4.4,208.0,0.0005639759036144,False
10.0,4.1,188.0,0.0006386746987951,False
10.0,3.8,167.0,0.0007171084337349,False
10.0,3.5,142.0,0.0008104819277108,False
10.0,3.2,117.0,0.0009038554216867,False
10.0,2.9,81.0,0.001038313253012,False
10.0,2.6,43.0,0.0011802409638554,False
10.0,2.3,0.0,0.0013408433734939,False
15.0,8.0,336.0,8.590361445783133e-05,False
15.0,6.9,335.0,8.963855421686747e-05,False
15.0,5.98,330.0,0.000108313253012,False
15.0,5.7,325.0,0.0001269879518072,False
15.0,5.54,320.0,0.0001456626506024,False
15.0,5.46,315.0,0.0001643373493975,False
15.0,5.4,310.0,0.0001830120481927,False
15.0,5.35,305.0,0.0002016867469879,False
15.0,5.3,300.0,0.0002203614457831,False
15.0,5.25,295.0,0.0002390361445783,False
15.0,5.22,290.0,0.0002577108433734,False
15.0,5.2,285.0,0.0002763855421686,False
15.0,5.18,280.0,0.0002950602409638,False
15.0,5.14,275.0,0.000313734939759,False
15.0,5.12,270.0,0.0003324096385542,False
15.0,5.14,265.0,0.0003510843373493,False
15.0,5.13,260.0,0.0003697590361445,False
15.0,5.12,255.0,0.0003884337349397,False
15.0,5.12,250.0,0.0004071084337349,False
15.0,5.11,245.0,0.0004257831325301,True
15.0,5.1,241.0,0.0004407228915662,False
15.0,4.8,222.0,0.0005116867469879,False
15.0,4.5,204.0,0.0005789156626506,False
15.0,4.2,185.0,0.0006498795180722,False
15.0,3.9,163.0,0.000732048192771,False
15.0,3.6,139.0,0.0008216867469879,False
