T,P,h,V,is_starred
10.0,2.3,0.0,0.001340843373493976,false
10.0,2.6,43.0,0.0011802409638554216,false
10.0,2.9,81.0,0.0010383132530120483,false
10.0,3.2,117.0,0.000903855421686747,false
10.0,3.5,142.0,0.0008104819277108434,false
10.0,3.8,167.0,0.0007171084337349397,false
10.0,4.1,188.0,0.0006386746987951807,false
10.0,4.4,208.0,0.0005639759036144579,false
10.0,4.55,227.0,0.0004930120481927711,true
10.0,4.58,232.0,0.00047433734939759036,false
10.0,4.6,250.0,0.0004071084337349398,false
10.0,4.6,255.0,0.00038843373493975905,false
10.0,4.62,260.0,0.0003697590361445783,false
10.0,4.65,265.0,0.0003510843373493976,false
10.0,4.65,275.0,0.00031373493975903613,false
10.0,4.65,270.0,0.00033240963855421686,false
10.0,4.65,275.0,0.00031373493975903613,false
10.0,4.65,280.0,0.0002950602409638554,false
10.0,4.65,285.0,0.0002763855421686747,false
10.0,4.65,290.0,0.00025771084337349395,false
10.0,4.68,295.0,0.00023903614457831325,false
10.0,4.7,300.0,0.00022036144578313252,false
10.0,4.71,305.0,0.0002016867469879518,false
10.0,4.85,316.0,0.00016060240963855423,false
10.0,4.92,320.0,0.00014566265060240964,false
10.0,5.12,325.0,0.0001269879518072289,false
10.0,5.45,330.0,0.0001083132530120482,false
10.0,6.6,335.0,8.963855421686747e-5,false
10.0,8.0,337.0,8.216867469879518e-5,false
15.0,2.41,0.0,0.001340843373493976,false
15.0,2.7,41.0,0.001187710843373494,false
15.0,3.0,79.0,0.0010457831325301206,false
15.0,3.3,112.0,0.0009225301204819277,false
15.0,3.6,139.0,0.0008216867469879518,false
15.0,3.9,163.0,0.0007320481927710844,false
15.0,4.2,185.0,0.0006498795180722892,false
15.0,4.5,204.0,0.0005789156626506024,false
15.0,4.8,222.0,0.0005116867469879518,false
15.0,5.1,241.0,0.00044072289156626504,false
15.0,5.11,245.0,0.0004257831325301205,true
15.0,5.12,250.0,0.0004071084337349398,false
15.0,5.12,255.0,0.00038843373493975905,false
15.0,5.13,260.0,0.0003697590361445783,false
15.0,5.14,265.0,0.0003510843373493976,false
15.0,5.12,270.0,0.00033240963855421686,false
15.0,5.14,275.0,0.00031373493975903613,false
15.0,5.18,280.0,0.0002950602409638554,false
15.0,5.2,285.0,0.0002763855421686747,false
15.0,5.22,290.0,0.00025771084337349395,false
15.0,5.25,295.0,0.00023903614457831325,false
15.0,5.3,300.0,0.00022036144578313252,false
15.0,5.35,305.0,0.0002016867469879518,false
15.0,5.4,310.0,0.0001830120481927711,false
15.0,5.46,315.0,0.00016433734939759036,false
15.0,5.54,320.0,0.00014566265060240964,false
15.0,5.7,325.0,0.0001269879518072289,false
15.0,5.98,330.0,0.0001083132530120482,false
15.0,6.9,335.0,8.963855421686747e-5,false
15.0,8.0,336.0,8.590361445783133e-5,false
20.0,2.42,0.0,0.001340843373493976,false
20.0,2.7,34.0,0.001213855421686747,false
20.0,3.0,74.0,0.0010644578313253011,false
20.0,3.3,105.0,0.0009486746987951807,false
20.0,3.6,132.0,0.0008478313253012048,false
20.0,3.9,156.0,0.0007581927710843373,false
20.0,4.2,177.0,0.0006797590361445783,false
20.0,4.5,196.0,0.0006087951807228916,false
20.0,4.8,213.0,0.0005453012048192771,false
20.0,5.1,228.0,0.000489277108433735,false
20.0,5.4,242.0,0.0004369879518072289,false
20.0,5.7,261.0,0.0003660240963855422,true
20.0,5.71,265.0,0.0003510843373493976,false
20.0,5.72,271.0,0.00032867469879518073,false
20.0,5.73,275.0,0.00031373493975903613,false
20.0,5.74,280.0,0.0002950602409638554,false
20.0,5.78,285.0,0.0002763855421686747,false
20.0,5.79,290.0,0.00025771084337349395,false
20.0,5.81,295.0,0.00023903614457831325,false
20.0,5.82,300.0,0.00022036144578313252,false
20.0,5.88,305.0,0.0002016867469879518,false
20.0,5.93,310.0,0.0001830120481927711,false
20.0,6.01,315.0,0.00016433734939759036,false
20.0,6.11,320.0,0.00014566265060240964,false
20.0,6.28,325.0,0.0001269879518072289,false
20.0,6.5,330.0,0.0001083132530120482,false
20.0,8.0,335.0,8.963855421686747e-5,false
25.0,2.52,0.0,0.001340843373493976,false
25.0,2.8,38.0,0.0011989156626506024,false
25.0,3.1,74.0,0.0010644578313253011,false
25.0,3.4,105.0,0.0009486746987951807,false
25.0,3.7,131.0,0.000851566265060241,false
25.0,4.0,153.0,0.0007693975903614458,false
25.0,4.3,175.0,0.0006872289156626506,false
25.0,4.6,192.0,0.0006237349397590361,false
25.0,4.9,207.0,0.000567710843373494,false
25.0,5.2,222.0,0.0005116867469879518,false
25.0,5.5,237.0,0.00045566265060240964,false
25.0,5.8,249.0,0.0004108433734939759,false
25.0,6.1,261.0,0.0003660240963855422,false
25.0,6.4,278.0,0.00030253012048192773,true
25.0,6.42,285.0,0.0002763855421686747,false
25.0,6.48,294.0,0.00024277108433734938,false
25.0,6.5,297.0,0.00023156626506024095,false
25.0,6.53,304.0,0.00020542168674698796,false
25.0,6.61,310.0,0.0001830120481927711,false
25.0,6.72,315.0,0.00016433734939759036,false
25.0,6.85,320.0,0.00014566265060240964,false
25.0,7.0,325.0,0.0001269879518072289,false
25.0,7.36,330.0,0.0001083132530120482,false
25.0,7.8,332.0,0.0001008433734939759,false
25.0,8.0,333.0,9.710843373493976e-5,false
31.1,2.6,0.0,0.001340843373493976,false
31.1,2.9,40.0,0.0011914457831325301,false
31.1,3.2,74.0,0.0010644578313253011,false
31.1,3.5,103.0,0.000956144578313253,false
31.1,3.8,127.0,0.0008665060240963855,false
31.1,4.1,150.0,0.0007806024096385542,false
31.1,4.4,170.0,0.0007059036144578313,false
31.1,4.7,187.0,0.0006424096385542169,false
31.1,5.0,202.0,0.0005863855421686747,false
31.1,5.3,212.0,0.0005490361445783132,false
31.1,5.6,229.0,0.00048554216867469877,false
31.1,5.9,240.0,0.0004444578313253012,false
31.1,6.2,252.0,0.00039963855421686745,false
31.1,6.5,263.0,0.00035855421686746986,false
31.1,6.8,273.0,0.00032120481927710846,false
31.1,7.1,286.0,0.00027265060240963854,false
31.1,7.4,302.0,0.00021289156626506025,true
31.1,7.43,310.0,0.0001830120481927711,false
31.1,7.52,315.0,0.00016433734939759036,false
31.1,7.65,320.0,0.00014566265060240964,false
31.1,7.83,325.0,0.0001269879518072289,false
31.1,8.0,327.0,0.00011951807228915662,false
35.0,2.68,0.0,0.001340843373493976,false
35.0,3.0,40.0,0.0011914457831325301,false
35.0,3.3,80.0,0.0010420481927710843,false
35.0,3.6,108.0,0.0009374698795180723,false
35.0,3.9,130.0,0.0008553012048192771,false
35.0,4.2,153.0,0.0007693975903614458,false
35.0,4.5,172.0,0.000698433734939759,false
35.0,4.8,188.0,0.0006386746987951807,false
35.0,5.1,202.0,0.0005863855421686747,false
35.0,5.4,215.0,0.0005378313253012048,false
35.0,5.7,228.0,0.000489277108433735,false
35.0,6.0,239.0,0.00044819277108433737,false
35.0,6.3,249.0,0.0004108433734939759,false
35.0,6.6,259.0,0.00037349397590361445,false
35.0,6.9,270.0,0.00033240963855421686,false
35.0,7.2,279.0,0.00029879518072289154,false
35.0,7.5,288.0,0.0002651807228915663,false
35.0,7.8,299.0,0.00022409638554216868,false
35.0,8.0,307.0,0.00019421686746987952,false
40.0,2.72,0.0,0.001340843373493976,false
40.0,3.0,38.0,0.0011989156626506024,false
40.0,3.3,72.0,0.0010719277108433734,false
40.0,3.6,99.0,0.0009710843373493975,false
40.0,3.9,121.0,0.0008889156626506024,false
40.0,4.2,144.0,0.000803012048192771,false
40.0,4.5,162.0,0.0007357831325301205,false
40.0,4.8,179.0,0.000672289156626506,false
40.0,5.1,194.0,0.0006162650602409639,false
40.0,5.4,207.0,0.000567710843373494,false
40.0,5.7,221.0,0.0005154216867469879,false
