T/°C,P/Mpa,h/mm
,,
第一组数据,,
10,2.3,0
10,2.6,43
10,2.9,81
10,3.2,117
10,3.5,142
10,3.8,167
10,4.1,188
10,4.4,208
10,4.55,227*
10,4.58,232
10,4.6,250
10,4.6,255
10,4.62,260
10,4.65,265
10,4.65,275
10,4.65,270
10,4.65,275
10,4.65,280
10,4.65,285
10,4.65,290
10,4.68,295
10,4.7,300
10,4.71,305
10,4.85,316
10,4.92,320
10,5.12,325
10,5.45,330
10,6.6,335
10,8,337
,,
第二组数据,,
15,2.41,0
15,2.7,41
15,3,79
15,3.3,112
15,3.6,139
15,3.9,163
15,4.2,185
15,4.5,204
15,4.8,222
15,5.1,241
15,5.11,245*
15,5.12,250
15,5.12,255
15,5.13,260
15,5.14,265
15,5.12,270
15,5.14,275
15,5.18,280
15,5.2,285
15,5.22,290
15,5.25,295
15,5.3,300
15,5.35,305
15,5.4,310
15,5.46,315
15,5.54,320
15,5.7,325
15,5.98,330
15,6.9,335
15,8,336
,,
第三组数据,,
20,2.42,0
20,2.7,34
20,3,74
20,3.3,105
20,3.6,132
20,3.9,156
20,4.2,177
20,4.5,196
20,4.8,213
20,5.1,228
20,5.4,242
20,5.7,261*
20,5.71,265
20,5.72,271
20,5.73,275
20,5.74,280
20,5.78,285
20,5.79,290
20,5.81,295
20,5.82,300
20,5.88,305
20,5.93,310
20,6.01,315
20,6.11,320
20,6.28,325
20,6.5,330
20,8,335
,,
第四组数据,,
25,2.52,0
25,2.8,38
25,3.1,74
25,3.4,105
25,3.7,131
25,4,153
25,4.3,175
25,4.6,192
25,4.9,207
25,5.2,222
25,5.5,237
25,5.8,249
25,6.1,261
25,6.4,278*
25,6.42,285
25,6.48,294
25,6.5,297
25,6.53,304
25,6.61,310
25,6.72,315
25,6.85,320
25,7,325
25,7.36,330
25,7.8,332
25,8,333
,,
第五组数据,,
31.1,2.6,0
31.1,2.9,40
31.1,3.2,74
31.1,3.5,103
31.1,3.8,127
31.1,4.1,150
31.1,4.4,170
31.1,4.7,187
31.1,5,202
31.1,5.3,212
31.1,5.6,229
31.1,5.9,240
31.1,6.2,252
31.1,6.5,263
31.1,6.8,273
31.1,7.1,286
31.1,7.4,302*
31.1,7.43,310
31.1,7.52,315
31.1,7.65,320
31.1,7.83,325
31.1,8,327
,,
第六组数据,,
35,2.68,0
35,3,40
35,3.3,80
35,3.6,108
35,3.9,130
35,4.2,153
35,4.5,172
35,4.8,188
35,5.1,202
35,5.4,215
35,5.7,228
35,6,239
35,6.3,249
35,6.6,259
35,6.9,270
35,7.2,279
35,7.5,288
35,7.8,299
35,8,307
,,
第七组数据,,
40,2.72,0
40,3,38
40,3.3,72
40,3.6,99
40,3.9,121
40,4.2,144
40,4.5,162
40,4.8,179
40,5.1,194
40,5.4,207
40,5.7,221
40,6,231
40,6.3,242
40,6.6,251
40,6.9,260
40,7.2,268
40,7.5,277
40,7.8,284
40,8,289
,,
第八组数据,,
50,2.82,0
50,3.1,33
50,3.4,61
50,3.7,93
50,4,116
50,4.3,138
50,4.6,156
50,4.9,173
50,5.2,188
50,5.5,200
50,5.8,213
50,6.1,223
50,6.4,233
50,6.7,241
50,7,250
50,7.3,258
50,7.6,264
50,7.9,270
50,8,273
,,
第九组数据,,
60,3,0
60,3.3,41
60,3.6,70
60,3.9,92
60,4.2,118
60,4.5,139
60,4.8,149
60,5.1,169
60,5.4,183
60,5.7,191
60,6,207
60,6.3,212
60,6.6,221
60,6.9,234
60,7.2,242
60,7.5,249
60,7.8,255
60,8,259
,,
第十组数据,,
70,3.1,0
70,3.4,37
70,3.7,60
70,4,91
70,4.3,108
70,4.6,127
70,4.9,148
70,5.2,163
70,5.5,176
70,5.8,188
70,6.1,200
70,6.4,209
70,6.7,218
70,7,227
70,7.3,234
70,7.6,241
70,7.9,247
70,8,249
