T,P,h,V,is_starred
15.0,2.41,0.0,0.012363110407052827,false
15.0,2.7,41.0,0.010951167435773814,false
15.0,3.0,79.0,0.009642537364832289,false
15.0,3.3,112.0,0.008506095461119911,false
15.0,3.6,139.0,0.007576279358082512,false
15.0,3.9,163.0,0.0067497761553826025,false
15.0,4.2,185.0,0.005992148219574351,false
15.0,4.5,204.0,0.0053378331841035884,false
15.0,4.8,222.0,0.0047179557820786555,false
15.0,5.1,241.0,0.004063640746607893,false
15.0,5.11,245.0,0.003925890212824574,true
15.0,5.12,250.0,0.0037537020455954266,false
15.0,5.12,255.0,0.0035815138783662787,false
15.0,5.13,260.0,0.0034093257111371305,false
15.0,5.14,265.0,0.0032371375439079826,false
15.0,5.12,270.0,0.003064949376678835,false
15.0,5.14,275.0,0.0028927612094496865,false
15.0,5.18,280.0,0.0027205730422205387,false
15.0,5.2,285.0,0.0025483848749913904,false
15.0,5.22,290.0,0.0023761967077622426,false
15.0,5.25,295.0,0.0022040085405330948,false
15.0,5.3,300.0,0.0020318203733039465,false
15.0,5.35,305.0,0.0018596322060747985,false
15.0,5.4,310.0,0.0016874440388456506,false
15.0,5.46,315.0,0.0015152558716165026,false
15.0,5.54,320.0,0.0013430677043873545,false
15.0,5.7,325.0,0.0011708795371582065,false
15.0,5.98,330.0,0.0009986913699290584,false
15.0,6.9,335.0,0.0008265032026999105,false
15.0,8.0,336.0,0.0007920655692540808,false
