T,P,h,V,is_starred
20.0,3.4333,0.0,0.0013408,false
20.0,3.7133,34.0,0.0012139,false
20.0,4.0133,74.0,0.0010645,false
20.0,4.3133,105.0,0.0009487,false
20.0,4.6132,132.0,0.0008478,false
20.0,4.9132,156.0,0.0007582,false
20.0,5.2133,177.0,0.0006798,false
20.0,5.5133,196.0,0.0006088,false
20.0,5.8133,213.0,0.0005453,false
20.0,6.1132,228.0,0.0004893,false
20.0,6.4133,242.0,0.0004370,false
20.0,6.7133,261.0,0.0003660,true
20.0,6.7233,265.0,0.0003511,false
20.0,6.7332,271.0,0.0003287,false
20.0,6.7433,275.0,0.0003137,false
20.0,6.7533,280.0,0.0002951,false
20.0,6.7933,285.0,0.0002764,false
20.0,6.8033,290.0,0.0002577,false
20.0,6.8232,295.0,0.0002390,false
20.0,6.8333,300.0,0.0002204,false
20.0,6.8933,305.0,0.0002017,false
20.0,6.9432,310.0,0.0001830,false
20.0,7.0232,315.0,0.0001643,false
20.0,7.1233,320.0,0.0001457,false
20.0,7.2933,325.0,0.0001270,false
20.0,7.5133,330.0,0.0001083,false
20.0,9.0132,335.0,0.0000896,false
