T,P,h,V,is_starred
15.0,3.4132,0.0,0.0164874,false
15.0,3.7133,40.0,0.0146504,false
15.0,4.0133,79.0,0.0128593,true
15.0,4.3133,111.0,0.0113896,false
15.0,4.6132,140.0,0.0100578,false
15.0,4.9132,161.0,0.0090933,false
15.0,5.2133,183.0,0.008083,false
15.0,5.5133,203.0,0.0071644,false
15.0,5.9133,239.0,0.0055111,false
15.0,6.0633,244.0,0.0052815,false
15.0,6.1132,249.0,0.0050519,false
15.0,6.1132,254.0,0.0048222,false
15.0,6.1633,259.0,0.0045926,false
15.0,6.1633,264.0,0.004363,false
15.0,6.2033,269.0,0.0041333,false
15.0,6.2133,274.0,0.0039037,false
15.0,6.2233,279.0,0.0036741,false
15.0,6.2233,284.0,0.0034444,false
15.0,6.2633,289.0,0.0032148,false
15.0,6.2933,294.0,0.0029852,false
15.0,6.3133,299.0,0.0027556,false
15.0,6.3333,304.0,0.0025259,false
15.0,6.3632,309.0,0.0022963,false
15.0,6.4032,314.0,0.0020667,false
15.0,6.5033,319.0,0.001837,false
15.0,6.5633,324.0,0.0016074,false
15.0,6.8433,329.0,0.0013778,false
15.0,7.2332,334.0,0.0011481,false
15.0,9.0132,337.0,0.0010104,false
20.0,3.5133,0.0,0.0164874,false
20.0,3.8133,39.0,0.0146963,false
20.0,4.1132,82.0,0.0127215,false
20.0,4.4132,113.0,0.0112978,false
20.0,4.7133,138.0,0.0101496,false
20.0,5.0133,161.0,0.0090933,false
20.0,5.3133,183.0,0.008083,false
20.0,5.6132,198.0,0.0073941,false
20.0,5.9133,215.0,0.0066133,false
20.0,6.1132,226.0,0.0061081,false
20.0,6.2133,231.0,0.0058785,false
20.0,6.2433,236.0,0.0056489,false
20.0,6.4133,240.0,0.0054652,false
20.0,6.4832,245.0,0.0052356,false
20.0,6.5833,259.0,0.0045926,false
20.0,6.6833,255.0,0.0047763,false
20.0,6.7133,260.0,0.0045467,false
20.0,6.7433,265.0,0.004317,false
20.0,6.8033,270.0,0.0040874,false
20.0,6.8232,275.0,0.0038578,false
20.0,6.8533,280.0,0.0036281,false
20.0,6.8933,285.0,0.0033985,false
20.0,6.9032,290.0,0.0031689,false
20.0,6.9032,295.0,0.0029393,false
20.0,6.9133,300.0,0.0027096,false
20.0,6.9233,305.0,0.00248,false
20.0,6.9633,310.0,0.0022504,false
20.0,7.0133,315.0,0.0020207,false
20.0,7.1033,320.0,0.0017911,false
20.0,7.3232,325.0,0.0015615,false
20.0,7.5732,330.0,0.0013319,false
20.0,9.0132,334.0,0.0011481,false
25.0,3.5633,0.0,0.0164874,false
25.0,3.8632,41.0,0.0146044,false
25.0,4.1632,74.0,0.0130889,false
25.0,4.4633,105.0,0.0116652,false
25.0,4.7633,133.0,0.0103793,false
25.0,5.0633,156.0,0.009323,false
25.0,5.3632,175.0,0.0084504,false
25.0,5.6633,193.0,0.0076237,false
25.0,5.9633,212.0,0.0067511,false
25.0,6.2633,225.0,0.0061541,false
25.0,6.5633,237.0,0.005603,false
25.0,6.8632,250.0,0.0050059,false
25.0,6.9633,255.0,0.0047763,false
25.0,7.1132,260.0,0.0045467,false
25.0,7.2133,265.0,0.004317,false
25.0,7.3133,270.0,0.0040874,false
25.0,7.4633,275.0,0.0038578,false
25.0,7.5133,280.0,0.0036281,false
25.0,7.5633,285.0,0.0033985,false
25.0,7.5833,290.0,0.0031689,false
25.0,7.6132,295.0,0.0029393,false
25.0,7.6233,300.0,0.0027096,false
25.0,7.6932,305.0,0.00248,false
25.0,7.7033,310.0,0.0022504,false
25.0,7.7933,315.0,0.0020207,false
25.0,7.8232,320.0,0.0017911,false
25.0,8.1032,325.0,0.0015615,false
25.0,8.5032,330.0,0.0013319,false
25.0,8.8133,332.0,0.00124,false
25.0,9.0132,333.0,0.0011941,false
31.1,3.6132,0.0,0.0164874,false
31.1,3.9132,38.0,0.0147422,false
31.1,4.2133,74.0,0.0130889,false
31.1,4.5133,103.0,0.011757,false
31.1,4.8133,127.0,0.0106548,false
31.1,5.1132,149.0,0.0096444,false
31.1,5.4133,169.0,0.0087259,false
31.1,5.7133,186.0,0.0079452,false
31.1,6.0133,200.0,0.0073022,false
31.1,6.3133,215.0,0.0066133,false
31.1,6.6132,229.0,0.0059704,false
31.1,6.9133,241.0,0.0054193,false
31.1,7.2133,250.0,0.0050059,false
31.1,7.5133,261.0,0.0045007,false
31.1,7.8133,272.0,0.0039956,false
31.1,8.1132,285.0,0.0033985,false
31.1,8.4132,298.0,0.0028015,false
