T,P,h,V,is_starred
36.0,3.7133,0.0,0.0013408,false
36.0,3.9633,37.0,0.0012027,false
36.0,4.2133,65.0,0.0010981,false
36.0,4.4633,91.0,0.0010010,false
36.0,4.7133,111.0,0.0009263,false
36.0,4.9633,131.0,0.0008516,false
36.0,5.2133,150.0,0.0007806,false
36.0,5.4633,165.0,0.0007246,false
36.0,5.7133,180.0,0.0006686,false
36.0,5.9633,191.0,0.0006275,false
36.0,6.2133,204.0,0.0005789,false
36.0,6.4633,214.0,0.0005416,false
36.0,6.7133,225.0,0.0005005,false
36.0,6.9633,234.0,0.0004669,false
36.0,7.2133,244.0,0.0004295,false
36.0,7.4633,251.0,0.0004034,false
36.0,7.7133,259.0,0.0003735,false
36.0,7.9633,268.0,0.0003399,false
36.0,8.2133,275.0,0.0003137,false
36.0,8.4633,283.0,0.0002839,false
36.0,8.7133,290.0,0.0002577,false
36.0,9.0132,299.0,0.0002241,false
