T,P,h,V,is_starred
10.0,3.3133,0.0,0.0164874,false
10.0,3.6132,43.0,0.0145126,false
10.0,3.9132,81.0,0.0127674,false
10.0,4.2133,117.0,0.0111141,false
10.0,4.5133,142.0,0.0099659,false
10.0,4.8133,167.0,0.0088178,false
10.0,5.1132,188.0,0.0078533,false
10.0,5.4133,208.0,0.0069348,false
10.0,5.5633,227.0,0.0060622,true
10.0,5.5933,232.0,0.0058326,false
10.0,5.6132,250.0,0.0050059,false
10.0,5.6132,255.0,0.0047763,false
10.0,5.6333,260.0,0.0045467,false
10.0,5.6633,265.0,0.004317,false
10.0,5.6633,275.0,0.0038578,false
10.0,5.6633,270.0,0.0040874,false
10.0,5.6633,275.0,0.0038578,false
10.0,5.6633,280.0,0.0036281,false
10.0,5.6633,285.0,0.0033985,false
10.0,5.6633,290.0,0.0031689,false
10.0,5.6932,295.0,0.0029393,false
10.0,5.7133,300.0,0.0027096,false
10.0,5.7233,305.0,0.00248,false
10.0,5.8632,316.0,0.0019748,false
10.0,5.9333,320.0,0.0017911,false
10.0,6.1333,325.0,0.0015615,false
10.0,6.4633,330.0,0.0013319,false
10.0,7.6132,335.0,0.0011022,false
10.0,9.0132,337.0,0.0010104,false
15.0,3.4233,0.0,0.0164874,false
15.0,3.7133,41.0,0.0146044,false
15.0,4.0133,79.0,0.0128593,false
15.0,4.3133,112.0,0.0113437,false
15.0,4.6132,139.0,0.0101037,false
15.0,4.9132,163.0,0.0090015,false
15.0,5.2133,185.0,0.0079911,false
15.0,5.5133,204.0,0.0071185,false
15.0,5.8133,222.0,0.0062919,false
15.0,6.1132,241.0,0.0054193,false
15.0,6.1233,245.0,0.0052356,true
15.0,6.1333,250.0,0.0050059,false
15.0,6.1333,255.0,0.0047763,false
15.0,6.1433,260.0,0.0045467,false
15.0,6.1532,265.0,0.004317,false
15.0,6.1333,270.0,0.0040874,false
15.0,6.1532,275.0,0.0038578,false
15.0,6.1932,280.0,0.0036281,false
15.0,6.2133,285.0,0.0033985,false
15.0,6.2332,290.0,0.0031689,false
15.0,6.2633,295.0,0.0029393,false
15.0,6.3133,300.0,0.0027096,false
15.0,6.3632,305.0,0.00248,false
15.0,6.4133,310.0,0.0022504,false
15.0,6.4733,315.0,0.0020207,false
15.0,6.5533,320.0,0.0017911,false
15.0,6.7133,325.0,0.0015615,false
15.0,6.9933,330.0,0.0013319,false
15.0,7.9133,335.0,0.0011022,false
15.0,9.0132,336.0,0.0010563,false
