T,P,h,V,is_starred
20.0,3.4333,0.0,0.0164874,false
20.0,3.7133,34.0,0.0149259,false
20.0,4.0133,74.0,0.0130889,false
20.0,4.3133,105.0,0.0116652,false
20.0,4.6132,132.0,0.0104252,false
20.0,4.9132,156.0,0.0093230,false
20.0,5.2133,177.0,0.0083585,false
20.0,5.5133,196.0,0.0074859,false
20.0,5.8133,213.0,0.0067052,false
20.0,6.1132,228.0,0.0060163,false
20.0,6.4133,242.0,0.0053733,false
20.0,6.7133,261.0,0.0045007,true
20.0,6.7233,265.0,0.0043170,false
20.0,6.7332,271.0,0.0040415,false
20.0,6.7433,275.0,0.0038578,false
20.0,6.7533,280.0,0.0036281,false
20.0,6.7933,285.0,0.0033985,false
20.0,6.8033,290.0,0.0031689,false
20.0,6.8232,295.0,0.0029393,false
20.0,6.8333,300.0,0.0027096,false
20.0,6.8933,305.0,0.0024800,false
20.0,6.9432,310.0,0.0022504,false
20.0,7.0232,315.0,0.0020207,false
20.0,7.1233,320.0,0.0017911,false
20.0,7.2933,325.0,0.0015615,false
20.0,7.5133,330.0,0.0013319,false
20.0,9.0132,335.0,0.0011022,false
